,RMSE_1,RMSE_2,RMSE_3,RMSE_4,RMSE_5,MEAN_RMSE
xgb_50_2_0.05,373.9162699831094,331.74466927240996,298.8709887656514,377.2537819482791,279.05522240670354,332.16818647523064
xgb_50_2_0.1,307.61992407324357,250.7483578472912,344.00779831774673,364.31768291143857,237.93590337265124,300.92593330447426
xgb_50_2_0.2,312.85461939862375,242.49598131693486,375.7906134257313,358.64789418729714,271.6177068925077,312.28136304421895
xgb_50_2_0.5,413.5097884774452,317.32391082555665,362.05989557338955,411.51150877625787,289.24045131733493,358.72911099399687
xgb_50_3_0.05,394.2985064293232,340.38070596552853,301.1262628272749,371.4540810574333,289.95294959052484,339.4425011740169
xgb_50_3_0.1,333.4099947919473,246.28865976909643,341.2873150565042,351.06581869862015,240.48024033030356,302.50640572929433
xgb_50_3_0.2,322.9150525369455,253.90254100514096,373.36773643492796,366.80016495066116,312.6957440581473,325.9362477971646
xgb_50_3_0.5,496.172006225805,321.4526117233114,381.44331170874443,376.9661694344798,308.3370235221606,376.8742245229002
xgb_50_5_0.05,437.9388238595643,357.7880547536554,305.72297484764727,387.7541289642348,332.7719835205529,364.3951931891309
xgb_50_5_0.1,361.61073577958183,265.85615168997924,338.76127222858446,347.90365156265517,260.84839562903807,314.99604137796774
xgb_50_5_0.2,347.57399565274125,274.5094800931554,385.85679726560596,335.0619401205074,300.97910263115966,328.79626315263397
xgb_50_5_0.5,544.5982448793296,272.2109422182956,364.4018217480186,372.7038447009375,276.4624892836828,366.0754685660528
xgb_50_7_0.05,434.2859866600061,355.7467516147689,312.5246425519012,392.83396143411693,331.49461051765593,365.3771905556898
xgb_50_7_0.1,355.9244360333516,273.4816697035834,335.1828723703969,361.83263300218954,267.84717027236843,318.85375627637796
xgb_50_7_0.2,362.4826099867871,268.8893993118506,373.5840615409456,345.9517609488881,319.32502256740884,334.046570871176
xgb_50_7_0.5,514.9400213737458,354.84381818697244,369.74105045551323,381.3417175317086,292.2802138316469,382.6293642759174
xgb_100_2_0.05,318.4479870938288,242.68735853236444,338.79588407080877,351.88843378593987,250.34948931602702,300.4338305597938
xgb_100_2_0.1,307.108136885917,249.79873380503187,372.814069125984,363.7433813139813,244.10096193314618,307.5130566128121
xgb_100_2_0.2,319.04131170148173,241.36957061550223,373.589055804948,355.28244236700334,276.2541895595516,313.1073140096974
xgb_100_2_0.5,413.07103463012027,318.23839345921243,361.98504483104875,413.67492969357266,289.1638430277224,359.2266491283353
xgb_100_3_0.05,310.84070464936457,247.96988340425162,342.2886456766664,344.98953088867034,251.6892789015076,299.5556087040921
xgb_100_3_0.1,331.15640220457095,239.01195434376768,352.9408704692135,352.85579728960624,241.11265680612684,303.415536222657
xgb_100_3_0.2,324.0902141338533,254.97952454542556,373.9215172823813,364.452140468136,315.9417087075207,326.6770210274634
xgb_100_3_0.5,496.25918556895925,321.4826126829072,381.36548709444935,376.90983189599825,308.3391082423541,376.8712450969336
