,RMSE_1,RMSE_2,RMSE_3,RMSE_4,RMSE_5,MEAN_RMSE
dt_2,232.29125689130038,303.75709670878877,338.096906989208,335.2248294975845,269.99732662200864,295.87348334177807
dt_3,244.5160076252714,311.0147542583555,338.096906989208,339.94716133824835,270.47268717302256,300.8095034768212
dt_4,239.06375569586788,304.51588190964503,338.096906989208,361.20635646758365,301.70236564164315,308.91705334078955
dt_5,231.33427046403034,311.8991491313653,338.096906989208,420.45619985172556,341.7355206214665,328.70440941155914
dt_7,234.1877854296973,312.25282791555344,338.096906989208,353.475142979923,253.22537188199442,298.24760703927524
dt_10,234.1877854296973,312.25282791555344,338.096906989208,353.475142979923,253.22537188199442,298.24760703927524
dt_15,234.1877854296973,312.25282791555344,338.096906989208,353.475142979923,253.22537188199442,298.24760703927524
dt_20,234.1877854296973,312.25282791555344,338.096906989208,353.475142979923,253.22537188199442,298.24760703927524
dt_25,234.1877854296973,312.25282791555344,338.096906989208,353.475142979923,253.22537188199442,298.24760703927524
