,RMSE_1,RMSE_2,RMSE_3,RMSE_4,RMSE_5,MEAN_RMSE
gb_10_2_0.1,214.0847794255975,249.85369760583075,325.72869316486896,342.5664068055361,245.88962721907814,275.6246408441823
gb_10_2_0.2,214.89102160197004,248.25457082021646,329.94323940977927,337.40524279656614,243.25627719976572,274.75007036565955
gb_10_2_0.5,248.42834942539386,282.23408637498966,326.5135976371824,329.16605523227696,302.15490615843004,297.69939896565455
gb_10_3_0.05,237.00286027761226,246.009704231901,322.63054772497617,355.4834646531059,259.56984164612624,284.1392837067443
gb_10_3_0.1,216.0875001377896,240.68935806390766,319.25082169243706,343.47458838191784,235.1898501550816,270.9384236862267
gb_10_3_0.2,200.54725383503333,257.80088825908626,333.995973480215,360.6053155192711,255.24321666131587,281.63852955098434
gb_10_3_0.5,232.6240227274621,240.9540075221173,372.9091369117201,395.7414591321651,284.1361107060176,305.27294739989645
gb_10_5_0.05,237.00286027761226,246.009704231901,323.5533367501713,355.4834646531059,259.56984164612624,284.32384151178337
gb_10_5_0.1,214.73347173314463,240.68935806390766,327.7519023386697,343.47458838191784,240.22663933428245,273.37519197038444
gb_10_5_0.2,208.6157982382189,259.0614518966836,341.39620862919924,344.0720340215278,255.32795405985547,281.69468936909703
gb_10_5_0.5,220.30517494235397,259.9040019714329,387.47065931952216,393.6938236950693,253.496551299022,302.97404224548006
gb_10_7_0.05,237.00286027761226,246.009704231901,323.5533367501713,355.4834646531059,259.56984164612624,284.32384151178337
gb_10_7_0.1,214.73347173314463,240.68935806390766,327.7519023386697,343.47458838191784,240.22663933428245,273.37519197038444
gb_10_7_0.2,208.6157982382189,259.0614518966836,341.39620862919924,344.0720340215278,255.32795405985547,281.69468936909703
gb_10_7_0.5,220.30517494235397,259.9040019714329,387.47065931952216,393.6938236950693,253.496551299022,302.97404224548006
gb_25_2_0.05,217.78352549887794,248.21047116651636,326.4987766673591,334.6091656788134,246.16184239339216,274.65275628099175
gb_25_2_0.1,223.07435808818704,250.02976768914976,336.4665221430952,335.06025791000843,237.91876446129143,276.5099340583464
gb_25_2_0.2,231.76773840828062,258.42180409431023,369.2428897684366,340.2525252416544,245.07864941903313,288.952721386343
gb_25_2_0.5,285.4275808892954,291.0034721722328,326.6835697531399,326.60272830230576,325.4143519927829,311.02634062195136
gb_25_3_0.05,215.23687421027694,242.47243181905256,325.4634414460295,340.1533136822247,241.15362466460414,272.89593716443756
gb_25_3_0.1,220.4291031134539,247.90813735862642,337.7839276787842,333.5319519147219,237.3756788282224,275.40575977876176
gb_25_3_0.2,216.66749492301548,267.3904263785876,349.9068726614648,358.3498264950352,256.7447456056634,289.8118732127533
gb_25_3_0.5,241.33258284947223,252.38182519411467,380.7923991513842,406.8331200186859,289.52600504052106,314.17318645083566
gb_25_5_0.05,212.0332913634545,243.1392619708754,330.17597706162655,340.033791969679,238.53739328078066,272.7839431292832
gb_25_5_0.1,209.71419589960774,247.7353756737036,345.63308849270555,327.0687606273879,235.95739795448452,273.2217637295779
gb_25_5_0.2,235.51424282438578,271.72514456103073,372.906837524681,351.086114794379,267.6739173864093,299.7812514181772
gb_25_5_0.5,245.78823705192167,261.33689053853806,416.47539965599367,409.8194737592425,264.4789456042648,319.5797893219921
gb_25_7_0.05,212.0332913634545,243.1392619708754,330.17597706162655,340.033791969679,238.53739328078066,272.7839431292832
gb_25_7_0.1,209.71419589960774,247.7353756737036,345.63308849270555,327.0687606273879,235.95739795448452,273.2217637295779
gb_25_7_0.2,235.51424282438578,271.72514456103073,372.906837524681,351.086114794379,267.6739173864093,299.7812514181772
gb_25_7_0.5,245.78823705192167,261.33689053853806,416.47539965599367,409.8194737592425,264.4789456042648,319.5797893219921
gb_50_2_0.05,221.98969069386217,249.87647954460064,335.87962990988797,330.8597636054497,243.43581390745035,276.4082755322502
gb_50_2_0.1,232.37721719011236,250.7404491560258,363.51724103224444,336.8553416713873,237.36624580152565,284.1712989702591
gb_50_2_0.2,248.55156046089178,256.44451235894104,388.43529440335107,339.4881122444576,254.82661124105448,297.5492181417392
gb_50_2_0.5,301.1023453818403,287.1524291334086,340.0936496464442,327.2055189433576,314.44342762345525,313.99947414570113
gb_50_3_0.05,215.91656511235578,245.90676763002534,343.0851743848055,331.9509712349617,233.51676027833844,274.0752477280974
gb_50_3_0.1,236.188209037402,252.71770778730962,363.7144450919322,331.93262103689756,246.72369362634242,286.25533531597677
gb_50_3_0.2,231.3580449332112,276.7017866360781,372.54918768567836,360.8512863880783,270.34445312808623,302.36095175422645
gb_50_3_0.5,248.9829276213869,254.46070766007486,392.9052160594474,406.6518424163792,285.4470371933483,317.6895461901273
gb_50_5_0.05,210.99423523660369,247.53390247816654,342.28572074387296,326.4289954658996,237.53326259032653,272.9552233029739
gb_50_5_0.1,227.00923548395392,248.52122633435886,366.3558872429031,323.38737619483817,240.82586574570547,281.2199182003519
gb_50_5_0.2,249.51854757422592,272.9490381446945,376.5449629692997,361.22145463856305,263.812335773765,304.80926782010965
gb_50_5_0.5,251.55563942999783,265.5255660062442,417.743276694721,409.85995494004027,267.21577943771126,322.3800433017429
gb_50_7_0.05,210.99423523660369,247.53390247816654,342.28572074387296,326.4289954658996,237.53326259032653,272.9552233029739
gb_50_7_0.1,227.00923548395392,248.52122633435886,366.3558872429031,323.38737619483817,240.82586574570547,281.2199182003519
gb_50_7_0.2,249.51854757422592,272.9490381446945,376.5449629692997,361.22145463856305,263.812335773765,304.80926782010965
gb_50_7_0.5,251.55563942999783,265.5255660062442,417.743276694721,409.85995494004027,267.21577943771126,322.3800433017429
gb_100_2_0.05,228.86566915383978,252.22105357265383,358.92266236510113,329.79402210457965,249.99755607229386,283.96019265369364
gb_100_2_0.1,249.42772615318285,261.6300817866024,376.32538056510236,346.9588962018249,249.24531961946863,296.7174808652362
gb_100_2_0.2,258.7790042327671,263.08614663244157,404.1338739729397,347.03054766059176,255.0193808546921,305.60979067068644
gb_100_2_0.5,309.8259941645144,284.7926591458435,343.49921628231584,327.09353274917095,315.31994204175663,316.10626887672026
gb_100_3_0.05,231.6981223603878,251.45914200454368,365.0648726576191,329.79160262796404,248.4586898552148,285.2944859011459
gb_100_3_0.1,243.23950275546594,253.75544551978902,378.39438137914954,338.4102751258162,251.12799283604411,292.98551952325295
gb_100_3_0.2,243.10993236276545,276.6064603806479,378.7761032952895,359.786644228124,273.88382876269634,306.4325938059046
gb_100_3_0.5,252.26405719796222,254.4406884642552,392.0102785527138,406.27406028832917,284.3720887063844,317.8722346419289
gb_100_5_0.05,219.8396174645237,248.47301773971523,366.9725799397698,325.60792640448506,252.76359908900352,282.7313481274995
gb_100_5_0.1,234.87104895877715,247.60477361394857,369.9903509527476,326.6414136544531,244.6508013125951,284.7516776985043
gb_100_5_0.2,255.7408927789678,272.2905145750103,374.5904474625108,361.20689260144565,264.1844114779169,305.6026317791703
gb_100_5_0.5,253.7294716727154,266.1474024935942,418.697467327366,409.80992648930544,265.37591240764084,322.7520360781244
gb_100_7_0.05,219.8396174645237,248.47301773971523,366.9725799397698,325.60792640448506,252.76359908900352,282.7313481274995
gb_100_7_0.1,234.87104895877715,247.60477361394857,369.9903509527476,326.6414136544531,244.6508013125951,284.7516776985043
gb_100_7_0.2,255.7408927789678,272.2905145750103,374.5904474625108,361.20689260144565,264.1844114779169,305.6026317791703
gb_100_7_0.5,253.7294716727154,266.1474024935942,418.697467327366,409.80992648930544,265.37591240764084,322.7520360781244
gb_250_2_0.05,245.13338176286544,260.06192449906644,381.0349748987737,339.85568572072543,259.9430944596947,297.20581226822515
gb_250_2_0.1,268.3440445888989,262.61276694455063,385.8770080826894,356.60509932256656,251.47887184309175,304.98355815635944
gb_250_2_0.2,268.24241207504747,264.85517555255024,405.56152094718044,347.79840978265395,254.80792345316252,308.2530883621189
gb_250_2_0.5,310.164475506478,285.5625556098236,343.3523964798978,327.16438378790946,315.48996074386366,316.34675442559444
gb_250_3_0.05,246.09078147547777,253.0958011847202,380.94810442219375,336.26117893427585,252.07237373143818,293.6936479496211
gb_250_3_0.1,258.25122339990793,257.4439297602362,374.73601605453473,340.75309559273626,252.21862253528855,296.6805774685407
gb_250_3_0.2,248.93632597553824,278.41973207759804,380.1310461658049,360.1595384417733,275.78582448441165,308.68649342902523
gb_250_3_0.5,252.31628310969757,254.74859158329159,392.4531831411585,406.28055921425164,284.2785718936244,318.0154377884047
gb_250_5_0.05,235.1363575806396,251.92323948172822,372.31378581003906,332.79004197078757,250.37471805804037,288.50762858024694
